Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
258,Chandler Hutchison\hutchch01,SF,25,PHO,6,0,3.7,0.2,0.3,.500,0.0,0.0,,0.2,0.3,.500,.500,0.3,0.3,1.000,0.0,0.8,0.8,0.3,0.0,0.0,0.7,0.2,0.7
259,Bones Hyland\hylanbo01,PG,21,DEN,66,3,18.9,3.3,8.2,.399,1.9,5.1,.366,1.4,3.1,.455,.514,1.5,1.8,.850,0.2,2.5,2.8,2.6,0.6,0.3,1.3,2.2,10.0
260,Serge Ibaka\ibakase01,C-PF,32,TOT,53,12,16.3,2.7,5.5,.495,0.7,1.8,.378,2.0,3.6,.554,.558,0.6,0.8,.727,1.1,3.5,4.6,0.9,0.2,0.6,0.8,1.9,6.7
260,Serge Ibaka\ibakase01,C,32,LAC,35,10,15.4,2.7,5.5,.490,0.7,1.8,.387,2.0,3.7,.538,.552,0.6,0.8,.690,1.1,3.1,4.3,1.0,0.2,0.7,0.9,1.6,6.6
260,Serge Ibaka\ibakase01,PF,32,MIL,18,2,18.2,2.8,5.5,.505,0.7,2.0,.361,2.1,3.5,.587,.571,0.7,0.8,.800,1.1,4.2,5.3,0.7,0.2,0.4,0.6,2.4,6.9
261,Andre Iguodala\iguodan01,SF,38,GSW,29,0,19.5,1.5,3.8,.387,0.6,2.4,.232,0.9,1.4,.643,.459,0.5,0.6,.778,0.7,2.6,3.3,3.7,0.8,0.8,0.9,1.1,4.0
262,Joe Ingles\inglejo01,SF,34,UTA,45,15,24.9,2.6,6.3,.404,1.7,5.0,.347,0.8,1.3,.617,.540,0.4,0.5,.773,0.3,2.6,2.9,3.5,0.5,0.1,1.0,1.8,7.2
263,Brandon Ingram\ingrabr01,SF,24,NOP,54,54,34.0,8.3,17.9,.463,1.4,4.1,.327,6.9,13.8,.503,.501,4.8,5.8,.828,0.6,5.1,5.8,5.5,0.6,0.5,2.8,2.1,22.8
264,Kyrie Irving\irvinky01,PG,29,BRK,25,25,37.2,9.8,21.0,.468,3.4,7.9,.424,6.4,13.0,.494,.548,4.1,4.5,.912,0.5,3.6,4.1,5.6,1.3,0.6,2.4,2.8,27.1
265,Wes Iwundu\iwundwe01,SF,27,ATL,3,1,27.3,2.7,6.0,.444,1.0,1.7,.600,1.7,4.3,.385,.528,1.0,1.3,.750,1.0,3.3,4.3,0.0,0.3,0.0,0.3,2.7,7.3
266,Frank Jackson\jacksfr01,PG,23,DET,50,6,22.2,3.7,9.2,.406,1.7,5.3,.315,2.1,3.9,.531,.497,1.6,2.0,.816,0.3,1.2,1.6,1.0,0.5,0.2,0.7,1.7,10.8
267,Isaiah Jackson\jacksis01,PF,20,IND,33,12,13.8,3.1,5.5,.567,0.1,0.4,.308,3.0,5.1,.587,.578,1.5,2.3,.649,1.7,2.4,4.1,0.3,0.6,1.4,1.1,2.4,7.8
268,Jaren Jackson Jr.\jacksja02,PF,22,MEM,75,75,27.2,5.5,13.3,.418,1.6,5.1,.319,3.9,8.1,.480,.479,3.6,4.3,.819,1.6,4.3,5.8,1.1,0.9,2.3,1.7,3.5,16.3
269,Josh Jackson\jacksjo02,SF,24,TOT,48,3,16.2,2.3,5.7,.404,0.6,2.5,.254,1.7,3.2,.523,.460,1.0,1.5,.686,0.4,2.4,2.8,1.1,0.5,0.5,0.9,1.7,6.3
269,Josh Jackson\jacksjo02,SF,24,DET,39,3,18.1,2.6,6.4,.410,0.8,2.9,.265,1.9,3.5,.529,.470,1.0,1.4,.714,0.4,2.7,3.2,1.3,0.5,0.5,1.0,1.8,7.1
269,Josh Jackson\jacksjo02,SF,24,SAC,9,0,7.7,0.9,2.7,.333,0.1,1.0,.111,0.8,1.7,.467,.354,0.9,1.6,.571,0.2,0.8,1.0,0.3,0.3,0.4,0.4,1.3,2.8
270,Justin Jackson\jacksju01,SF,26,TOT,7,0,5.3,0.7,2.1,.333,0.4,1.3,.333,0.3,0.9,.333,.433,0.3,0.3,1.000,0.1,0.9,1.0,0.3,0.0,0.0,0.1,0.4,2.1
270,Justin Jackson\jacksju01,SF,26,BOS,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
270,Justin Jackson\jacksju01,SF,26,PHO,6,0,5.8,0.8,2.3,.357,0.5,1.5,.333,0.3,0.8,.400,.464,0.0,0.0,,0.2,1.0,1.2,0.3,0.0,0.0,0.2,0.5,2.2
271,Reggie Jackson\jacksre01,SG,31,LAC,73,73,31.3,6.5,16.5,.392,2.3,6.9,.329,4.2,9.6,.437,.461,1.9,2.2,.847,0.5,3.1,3.6,4.9,0.7,0.2,2.3,2.2,17.1
272,LeBron James\jamesle01,SF,37,LAL,56,56,37.2,11.4,21.8,.524,2.9,8.0,.359,8.6,13.8,.620,.590,4.5,6.0,.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3
273,DeJon Jarreau\jarrede01,SG,24,IND,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,DaQuan Jeffries\jeffrda01,SG,24,MEM,3,0,3.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.3,0.7
275,Ty Jerome\jeromty01,SG,24,OKC,48,4,16.7,2.6,6.8,.378,1.1,3.9,.290,1.5,3.0,.493,.460,0.8,1.0,.809,0.4,1.2,1.6,2.3,0.6,0.1,0.8,1.5,7.1
276,Isaiah Joe\joeis01,SG,22,PHI,53,1,10.8,1.1,3.1,.352,0.8,2.4,.333,0.3,0.7,.410,.479,0.5,0.5,.931,0.1,0.8,1.0,0.6,0.2,0.1,0.3,0.8,3.5
277,Alize Johnson\johnsal02,PF,25,TOT,23,0,7.3,0.7,1.7,.436,0.0,0.2,.000,0.7,1.5,.486,.436,0.3,0.5,.583,1.2,1.4,2.7,0.4,0.2,0.0,0.5,0.8,1.8
277,Alize Johnson\johnsal02,PF,25,CHI,16,0,7.6,0.8,1.4,.522,0.0,0.1,.000,0.8,1.3,.571,.522,0.3,0.4,.571,1.0,1.3,2.3,0.5,0.2,0.0,0.5,0.9,1.8
277,Alize Johnson\johnsal02,PF,25,WAS,3,0,6.0,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.3,.000,1.7,2.3,4.0,0.0,0.0,0.0,1.0,0.0,1.3
277,Alize Johnson\johnsal02,PF,25,NOP,4,0,7.0,0.8,2.5,.300,0.0,0.0,,0.8,2.5,.300,.300,0.8,1.0,.750,1.8,1.5,3.3,0.3,0.5,0.0,0.3,0.8,2.3
278,B.J. Johnson\johnsbj01,SF,26,ORL,4,0,16.3,2.8,6.3,.440,1.0,2.5,.400,1.8,3.8,.467,.520,0.0,0.0,,1.5,2.3,3.8,0.0,0.0,0.3,0.0,1.0,6.5
279,Cameron Johnson\johnsca02,PF,25,PHO,62,14,26.3,4.3,9.2,.466,2.6,6.0,.436,1.7,3.2,.520,.607,1.5,1.7,.870,0.6,3.5,4.1,1.5,0.8,0.2,0.7,1.7,12.7
280,David Johnson\johnsda08,SG,20,TOR,2,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,Jalen Johnson\johnsja05,PF,20,ATL,19,0,5.8,1.2,2.1,.564,0.2,0.6,.250,1.0,1.4,.704,.603,0.3,0.4,.714,0.1,1.2,1.3,0.2,0.2,0.1,0.5,0.5,2.7
282,James Johnson\johnsja01,PF,34,BRK,62,10,19.2,2.3,5.0,.469,0.4,1.4,.271,2.0,3.6,.545,.507,0.5,0.9,.527,0.8,2.6,3.5,2.1,0.5,0.5,0.8,2.6,5.5
283,Joe Johnson\johnsjo02,SG,40,BOS,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
284,Keldon Johnson\johnske04,SF,22,SAS,72,71,31.8,6.2,13.4,.466,2.1,5.3,.405,4.1,8.1,.505,.546,2.3,3.0,.756,1.1,5.0,6.1,2.0,0.7,0.2,1.3,1.9,16.9
285,Keon Johnson\johnske07,SG,19,TOT,33,8,17.1,2.5,6.8,.363,0.9,2.4,.367,1.6,4.4,.361,.428,1.0,1.3,.791,0.7,1.5,2.2,1.5,0.7,0.3,1.0,1.7,6.8
285,Keon Johnson\johnske07,SG,19,LAC,15,0,9.0,1.1,3.4,.333,0.2,0.7,.273,0.9,2.7,.350,.363,1.1,1.4,.762,0.4,1.0,1.4,0.9,0.5,0.1,0.5,1.4,3.5
285,Keon Johnson\johnske07,SG,19,POR,18,8,23.8,3.6,9.6,.372,1.4,3.8,.382,2.1,5.8,.365,.448,1.0,1.2,.818,0.9,1.8,2.8,2.0,0.8,0.4,1.5,2.0,9.6
286,Stanley Johnson\johnsst04,PF,25,LAL,44,24,22.0,2.3,4.9,.474,0.7,2.0,.333,1.6,2.8,.576,.544,0.9,1.2,.741,0.7,2.3,3.0,1.7,0.9,0.3,0.5,2.3,6.2
287,Tyler Johnson\johnsty01,PG,29,TOT,6,0,15.2,1.0,3.3,.300,0.8,2.2,.385,0.2,1.2,.143,.425,0.0,0.0,,0.5,1.5,2.0,1.2,0.5,0.5,0.3,1.2,2.8
287,Tyler Johnson\johnsty01,PG,29,PHI,3,0,12.7,1.3,3.3,.400,1.0,2.3,.429,0.3,1.0,.333,.550,0.0,0.0,,0.3,1.7,2.0,0.7,0.3,0.3,0.3,1.3,3.7
287,Tyler Johnson\johnsty01,PG,29,SAS,3,0,17.7,0.7,3.3,.200,0.7,2.0,.333,0.0,1.3,.000,.300,0.0,0.0,,0.7,1.3,2.0,1.7,0.7,0.7,0.3,1.0,2.0
288,Nikola Jokić\jokicni01,C,26,DEN,72,72,33.3,10.1,17.4,.583,1.3,3.9,.339,8.8,13.5,.653,.621,5.2,6.4,.811,2.8,10.9,13.7,8.0,1.4,0.9,3.8,2.6,26.8
289,Carlik Jones\jonesca03,PG,24,TOT,5,0,4.6,0.2,1.8,.111,0.0,0.2,.000,0.2,1.6,.125,.111,0.4,0.4,1.000,0.2,0.4,0.6,1.0,0.2,0.0,0.6,0.0,0.8
289,Carlik Jones\jonesca03,PG,24,DAL,3,0,6.3,0.0,2.3,.000,0.0,0.3,.000,0.0,2.0,.000,.000,0.7,0.7,1.000,0.3,0.7,1.0,1.7,0.3,0.0,1.0,0.0,0.7
289,Carlik Jones\jonesca03,PG,24,DEN,2,0,2.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
290,Damian Jones\jonesda03,C,26,SAC,53,12,17.5,2.9,4.5,.646,0.2,0.5,.320,2.8,4.1,.684,.663,1.6,2.2,.728,1.4,3.0,4.4,1.2,0.4,0.8,1.0,2.3,7.6
291,Derrick Jones Jr.\jonesde02,PF,24,CHI,47,8,17.2,2.0,3.7,.546,0.3,1.1,.320,1.7,2.6,.637,.592,1.0,1.3,.790,1.2,2.1,3.3,0.5,0.5,0.6,0.5,2.1,5.4
292,Herbert Jones\joneshe01,PF,23,NOP,75,66,30.1,3.6,7.5,.477,0.7,2.2,.340,2.8,5.3,.533,.526,1.8,2.1,.835,1.2,2.6,3.8,2.2,1.7,0.8,1.3,3.1,9.6
293,Jemerrio Jones\jonesje01,SF,26,LAL,2,0,7.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,1.0,0.5,1.5,0.0,0.5,0.0,0.0,1.0,2.0
294,Kai Jones\joneska01,C,21,CHO,19,0,3.1,0.4,0.7,.615,0.1,0.1,.500,0.4,0.6,.636,.654,0.2,0.4,.375,0.2,0.4,0.5,0.2,0.1,0.0,0.3,0.4,1.1
295,Mason Jones\jonesma05,SG,23,LAL,2,0,4.5,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,2.5
296,Tre Jones\jonestr01,PG,22,SAS,65,8,15.9,2.2,4.6,.493,0.1,0.7,.163,2.1,3.9,.549,.505,0.9,1.1,.797,0.4,1.8,2.2,3.1,0.6,0.1,0.6,1.1,5.5
297,Tyus Jones\jonesty01,PG,25,MEM,70,21,21.0,3.4,7.5,.452,1.1,2.8,.381,2.3,4.7,.495,.524,0.8,0.9,.818,0.2,2.2,2.5,4.4,0.9,0.0,0.6,0.4,8.6
298,DeAndre Jordan\jordade01,C,33,TOT,46,19,12.8,1.8,2.9,.634,0.0,0.0,,1.8,2.9,.634,.634,0.5,0.8,.579,1.7,3.7,5.4,0.4,0.3,0.7,0.8,1.4,4.2
298,DeAndre Jordan\jordade01,C,33,LAL,32,19,12.8,1.9,2.8,.674,0.0,0.0,,1.9,2.8,.674,.674,0.4,0.8,.462,1.6,3.8,5.4,0.4,0.3,0.8,0.7,1.6,4.1
298,DeAndre Jordan\jordade01,C,33,PHI,14,0,12.9,1.8,3.2,.556,0.0,0.0,,1.8,3.2,.556,.556,0.7,0.9,.833,1.9,3.4,5.4,0.4,0.1,0.6,1.1,1.1,4.3
299,Cory Joseph\josepco01,PG,30,DET,65,39,24.6,2.7,6.2,.445,1.0,2.4,.414,1.7,3.7,.465,.526,1.5,1.7,.885,0.4,2.2,2.7,3.6,0.6,0.3,1.3,2.3,8.0
300,Georgios Kalaitzakis\kalaige01,SF,23,MIL,9,0,5.3,0.6,1.2,.455,0.2,0.4,.500,0.3,0.8,.429,.545,0.4,1.0,.444,0.4,0.4,0.9,0.0,0.1,0.1,0.4,0.9,1.8
301,Frank Kaminsky\kaminfr01,C,28,PHO,9,0,20.1,4.0,7.3,.545,0.6,1.7,.333,3.4,5.7,.608,.583,2.0,2.2,.900,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6
302,Luke Kennard\kennalu01,SG,25,LAC,68,12,27.5,4.1,9.0,.450,2.7,6.0,.450,1.4,3.0,.449,.599,1.0,1.1,.893,0.3,3.0,3.3,2.1,0.6,0.1,0.8,1.5,11.8
303,Braxton Key\keybr01,SF,24,TOT,8,0,17.0,2.6,6.6,.396,0.5,1.6,.308,2.1,5.0,.425,.434,0.3,0.6,.400,1.3,3.4,4.6,0.6,1.0,1.0,0.9,2.6,6.0
